"f <N> <-'en; de; -'s; de> 1. (letter) f 2. (muzieknoot) [G-muz] f, fa "
"f-sleutel <N> <-s; de> f-vqti, fa-vqti, bassivqti "
"feil <N> <-en; de; mf> viga, apsakas a. hier is een feil ingeslopen siia on yks apsakas sisse lipsanud b. een vriend die mij mijn feilen toont mulle mu vigu nxitav sqber "
feilen <V> <h> ~~ (midagi yritades, pyydes, mingi vea tqttu) (niet slagen, mislukken, van iemand of iets) lxbi kukkuma, ~~ (mingi puudujxxgi tqttu) (van iets, mislukken) ebaqnnestuma, puuduma, >> (van een poging, mislukken) nurjuma, >> (tekortschieten) kqlbmatuks osutuma, puudu jxxma, ebapiisav olema, mitte piisama, mitte vastu pidama, xparduma, luhtuma 
"feilloos <A> <adv; ncompar> eksimatu, veatu, >> (rotsvast) raudne a. iets feilloos kennen/weten [mida] eksimatult teadma, >> (vast en zeker) [mida] raudselt teadma b. hij heeft een feilloos gevoel/instinct (voor iets) related equivalent ta vqib oma vaistu/nina selle koha pealt usaldada, related equivalent tal on [mille] peale hea nina, related equivalent tal on [mille] peale vaistu "
"feit <N> <-en; het; n> 1. (wat werkelijk zo is (gebeurd)) fakt, tqsiasi, tqik, related equivalent asjaolu, related equivalent seik a. in feite qigupoolest, tqeliselt, tegelikkuses, tegelikult b. een vaststaand/voldongen feit vaieldamatu fakt c. de feiten spreken voor zich faktid rxxgivad ise eneste eest d. feit en fictie fakt ja fiktsioon e. het is een feit dat roken ongezond is fakt, et suitsetamine on tervisele kahjulik f. voor het feit staan fakti ees seisma g. achter de feiten aanlopen/aanhollen << (vanade teadmiste, faktide esitamise puhul) elust maha jxxnud olema 2. (misdaad) fakt a. een strafbaar feit karistatav tegu b. de feiten aan het licht brengen fakte pxevavalguse kxtte tooma "
"feitelijk <A> <sent; ncompar; attr> faktiline, tegelik, tqeline a. de feitelijke reden/oorzaak tegelik pqhjus b. de feitelijke situatie/toestand tegelik olukord c. feitelijke onjuistheden faktivead d. feitelijk onjuist tqsiasjade koha pealt vxxr e. de feitelijke machthebbers tqelised niiditqmbajad "
"feitelijkheid 1 <N> <-den; de; f> 1. (gewelddaad) [formal, jur] vxgivallaakt 2. (bestaande feiten) tqelisus, tqelus, reaalsus, tegelikkus, tqsielu "
"feitelijkheid 2 <N> <-; de; f> 1. (het feitelijke bestaan) << (paratamatu) olemasolu, << (tqestatav) eksisteerimine, reaalsus, fakt "
"feitenkennis <N> <-; de; f> faktilised teadmised "
"feitenmateriaal <N> <-; het; n> faktiline materjal a. beslissen op basis van feitenmateriaal faktilise materjali pqhjal otsustama "
"fel <A> <adv; -er/-st> 1. (hevig) xge, >> (scherp) terav, >> (krachtig) tugev, >> (intensief) intensiivne, >> (snijdend) lqikav, >> (intensief) vqimas, >> (vurig, verhit) tuline, >> (grimmig) kange, >> (hard) kqva, >> (groot) suur, >> (verbeten) kibe a. fel verontwaardigd xxretult ncrdinud b. een felle kou/pijn lqikav kylm/valu c. felle gevechten xgedad lahingud 2. (hartstochtelijk) xge, kibe, innukas a. fel protest/verzet xge protest b. een felle tante xge naisterahvas c. fel reageren/protesteren xgedalt reageerima/protesteerima 3. (hel) ere, erk, kirgas, related equivalent hele, ergas a. fel schijnen eredalt sxrama b. in de felle zon kirkas pxikesevalguses c. felle lampen eredad lambid d. felle kleuren eredad/kirkad/erksad vxrvid "
"felbegeerd <A> <nonadv; irregular; attr; papa> ihaldatud a. het felbegeerde diploma ihaldatud diplom "
"felheid <N> <-; de; f> xgedus, related equivalent vqimsus, related equivalent teravus, related equivalent eredus, jqud a. de felheid van de brand tule eredus/vqimsus b. de felheid van de kritiek kriitika teravus c. met grote/ongekende felheid metsiku/senitundmatu xgedusega, suure/senitundmatu jquga "
"felicitatie <N> <-s; de; f> qnnitlus, qnnesoov a. dat is een felicitatie waard see vxxrib qnnitlemist "
"feliciteren <V> <h; optreflex> qnnitlema a. iemand feliciteren met iets [kellele] [mille] puhul qnne soovima, [keda] [mille] puhul qnnitlema "
"felrood <A> <nonadv; ncompar> kxrtspunane, erkpunane "
"femelaarster <N> <-s; de; f> << (naissoost) silmakirjatseja, << (naissoost) variser "
"femelarij <N> <-; de; f> [offens] silmakirjatsemine, silmakirjalikkus a. de femelarij droop van hem af temast qhkus silmakirjalikkust "
"feminisatie <N> <-s; de; f> 1. (vervrouwelijking van mannen) [med/psych] feminisatsioon 2. (grotere vertegenwoordiging van vrouwen) feminisatsioon "
"feminisme <N> <-; het; n> feminism a. radicaal feminisme radikaalne feminism "
"feminist <N> <-en; de; m/f> feminist "
"feministe <N> <-s; de; f; -n> << (naissoost) feminist "
"feministisch <A> <adv; mixed> feministlik a. de feministische beweging naisliikumine b. een feministische schrijfster/roman feministlik kirjanik/romaan "
"femme fatale <N> <-s fatales; de; f> vamp, femme fatale "
"fenegriek <N> <-; de; m> pqld-lambalxxts "
"feniks <N> <-en; de; m> [lit] fccniks a. als een feniks uit zijn as herrijzen fccniksina tuhast tqusma "
"fenomeen <N> <-nen; het; n> 1. (buitengewoon natuurverschijnsel) fenomen a. een merkwaardig fenomeen kummaline fenomen 2. (opmerkelijk persoon) fenomen a. Mozart was een uniek fenomeen Mozart oli ainulaadne fenomen "
"fenomenaal <A> <adv; -er/-st> fenomenaalne, ebatavaline, harukordne a. een fenomenaal geheugen fenomenaalne mxlu "
"feodaal <A> <adv; -er/-st> feodaalne a. feodale toestanden olukord, kus oleks feodaalaeg justkui uuesti alanud "
"feodalisme <N> <-; het; n> feodalism "
"ferm <A> <adv; -er/-st> >> (vastberaden) vankumatu, >> (vastberaden, moedig) kindlameelne, >> (moedig) scakas, >> (beslist, vastberaden) resoluutne, >> (dapper) sydi, >> (moedig en enthousiast) tarmukas a. een ferme houding kindlameelne hoiak, resoluutne hoiak, tarmukus b. ferme taal/uitspraken kqvad sqnad c. iemand (eens) ferm toespreken [kellele] paar kqva sqna ytlema "
"fermentatie <N> <-s; de; f> kxxrimine, >> (alleen letterlijk) fermentatsioon "
"fermentatieproces <N> <-sen; het; n> kxxrimisprotsess "
fermenteren <V> <h> kxxrima 
"ferryboot <N> <-ten; de; mf> praam a. met de ferryboot naar Engeland varen praamiga Inglismaale sqitma "
"fertilisatie <N> <-s; de; f> 1. (bevruchting) [med] viljastamine a. in vitro fertilisatie [med] kunstlik viljastamine 2. (bemesting) [landb, rare] vxetamine "
"fervent <A> <adv; -er/-st; attr> tuline, innukas, kirglik, andunud a. een fervent liefhebber/bewonderaar van iemand/iets [mille]/[kelle] andunud austaja/imetleja b. een fervent voorstander/tegenstander tuline pooldaja/vastane c. een fervent aanhanger van iemand/iets [kelle]/[mille] innukas pooldaja d. een fervent beoefenaar van iets [mille] kirglik harrastaja "
"festijn <N> <-en; het; n> pidupxev, pidu, pidusccming a. een jaarlijks festijn iga-aastane pidu b. een middeleeuws festijn keskaegne pyha c. een waar festijn [formal] tceline pidupxev "
"festival <N> <-s; het; n> festival "
"festivaldirecteur <N> <-en; de; m/f> festivalidirektor "
"festiviteit <N> <-en; de; f> pidusyndmus "
"feuilleton <N> <-s; de/het  n; mn> jxrjejutt "
"fez <N> <-zen; de; m> fess "
"fiasco <N> <-'s; het; n> fiasko a. een volkomen/totaal fiasco txielik fiasko b. het is op een fiasco uitgelopen/uitgedraaid see lqppes fiaskoga "
"fiat <N> <-; het; n> heakskiit a. het fiat van de ministerraad ministrite nqukogu heakskiit b. zijn fiat ergens aan geven [mida] heaks kiitma "
"fiber <N> <-s; de/het  n; mn> kiud, fiiber "
"fiberglas <N> <-; het; n> klaaskiud "
"fiche <N> <-s; de/het  n; mfn> 1. (nepgeld bij kansspel) hasartmxngudes kasutatav mxnguraha 2. (systeemkaart) kartoteegikaart "
"fictie 1 <N> <-s; de; f> 1. (onjuiste aanname) fiktsioon "
"fictie 2 <N> <-; de; f> 1. (fantasie) fiktsioon a. feit/waarheid/werkelijkheid en fictie fakt ja fiktsioon "
"fictief <A> <adv; -er/-st> fiktiivne, vxljamqeldud a. een fictief personage/voorbeeld fiktiivne tegelane/nxide "
"ficus <N> <-sen; de; m> kummipuu "
"fideel <A> <adv; -er/-st> ~~ (usaldusvxxrne) (aardig) lahke, ~~ (sympaatne) (betrouwbaar) usaldusvxxrne a. een fidele kerel usaldusvxxrne tyyp "
"fiducie <N> <-; de; f> usk, usaldus a. ik heb er weinig fiducie in mul pole sellesse suurt usku "
fiedelen <V> <h> [informal] viiulit mxngima 
"fier <A> <adv; -er/-st> >> (trots) uhke, >> (dapper) sydi a. een fiere houding uhke hoiak b. de vlag wapperde fier in top lipp lehvis uhkelt tipus c. fier zijn op iets/iemand [belg] [kelle]/[mille] yle uhke olema, [kelle]/[mille] yle uhkust tundma "
"fiets <N> <-en; de; mf> jalgratas, << (jalgratas) ratas a. met/op de fiets jalgrattaga b. de fiets pakken rattaga minema c. op de fiets stappen sadulasse hyppama d. wat heb ik nou aan mijn fiets hangen! mis nyyd siis juhtus! e. op die fiets! [informal] nqndamoodi "
"fietsbel <N> <-len; de; mf> rattakell a. met je fietsbel bellen << (jalgrattal) kella helistama/tqmbama, kella andma b. er rinkelde een fietsbel anti (ratta)kella "
fietsen <V> <h> jalgrattaga sqitma a. naar je werk fietsen jalgrattaga tcc juurde sqitma b. ga fietsen! ah, jxta mind rahule! 
"fietsenhok <N> <-ken; het; n> jalgrattakuur, rattakuur "
"fietsenkelder <N> <-s; de; m> jalgrattakelder "
"fietsenmaker <N> <-s; de; m/f> 1. (hersteller van fietsen) jalgrattaparandaja 2. (fietsenmakerszaak) jalgrattaparandus, jalgrattatcckoda "
"fietsenrek <N> <-ken; het; n> 1. (rek voor fietsen) [informal] jalgrattarest, jalgrattahoidja 2. (slecht gebit) [jocular] hqredad hambad "
"fietsenstalling <N> <-en; de; f> ~~ (ka yldkasutatav) (niet openbaar) jalgrattakuur, >> (voor algemeen gebruik) yldkasutatav jalgrattakuur "
"fietser <N> <-s; de; m/f> jalgrattur a. fietsers hebben hier voorrang jalgratturitel on siin eesqigus "
"fietspad <N> <-en; het; n> [verkeer] jalgrattatee "
"fietspomp <N> <-en; de; mf> rattapump, jalgrattapump a. met een fietspomp je band oppompen kummi rattapumbaga txis pumpama "
"fietsroute <N> <-s; de; mf; -n> jalgrattarada, rattarada, jalgrattamarsruut "
"fietssleutel <N> <-s; de; m> 1. (sleuteltje van een fietsslot) jalgratta luku vqti 2. (soort moersleutel) jalgratta mutrivqti "
"fietsster <N> <-s; de; f> << (naissoost) jalgrattur "
"fietstas <N> <-sen; de; mf> jalgrattakott, rattakott, rattapaun a. een fietstas vol kranten ajalehtedest pungil rattakott "
"fietstocht <N> <-en; de; m> rattamatk, jalgrattamatk "
"fietsverkeer <N> <-; het; n> rattaliiklus "
"FIFA <N> <-; de; mf> [voetbal] FIFA "
fiftyfifty <Adv> fifty-fifty, << (pooleks) vqrdselt, pooleks a. de kans is fiftyfifty vqimalus(ed) on fifty-fifty b. iets fiftyfifty delen [mida] (vqrdselt) pooleks jagama 
"figurant <N> <-en; de; m/f> figurant, statist "
"figurante <N> <Figuranten; de; f; Figurantes> << (naissoost) figurant, << (naissoost) statist "
figureren <V> <h> 1. (optreden) << (rollis) olema a. figureren als dienster ettekandjaks olema 2. (als figurant optreden) << (statistina) figureerima 
"figuur <N> <-ren; het; mfn> 1. (lichaamsvorm) figuur, kuju a. een goed/strak figuur ilus/trimmis figuur 2. (afbeelding) joonis, joonistus, figuur a. levensecht getekende figuren tqelisusele sarnanevad figuurid 3. (voorstelling) [wisk] kujund, figuur a. een meetkundige figuur [wisk] b. een geometrisch figuur [adm] 4. (schematische voorstelling) joonis a. onderstaande/bovenstaande figuur jxrgnev/eelpoolseisev joonis b. in een figuur illustreren/weergeven joonisel kujutama 5. (type) figuur, tyyp, tegelane a. een goed/slecht/gek figuur slaan head/halba/tobedat muljet jxtma b. in de figuur van kujul c. een duistere figuur kahtlane kuju d. een omstreden figuur problemaatiline tegelane e. een markante figuur markantne tyyp f. een mythische/historische figuur mytoloogiline/ajalooline tegelane g. een centrale figuur keskne kuju h. een figuur uit een tekenfilm multifilmi tegelane "
"figuurlijk <A> <adv; ncompar> piltlik, ylekantud a. in figuurlijke zin piltlikus txhenduses b. in de figuurlijke betekenis van het woord sqna ylekantud txhenduses "
"figuurzaag <N> <-gen; de; mf> vineerisaag "
"fijn <A> <adv; -er/-st> 1. (prettig) kena, tore, mqnus a. iets fijn vinden leidma, et [mis] on hea b. een fijne auto/pen tore auto/sulepea c. een fijne vent/meid tore kutt/plika d. hebben jullie fijn gespeeld? oli teil tore mxngida? e. (ik wens je) een fijne vakantie/avond/dag! (soovin sulle) toredat puhkust/qhtut/pxeva! 2. (niet grof) peen, peenike a. een fijne pen/stift peenikese kirjaga sulepea/vildikas b. een fijne kam tihe kamm c. een fijn gezichtje peente nxojoontega nxgu d. fijn haar >> (dun) qhukesed juuksed, >> (van afzonderlijke haren) peenikesed juukse(karva)d e. fijn schrijven peenikese kirjaga kirjutama f. fijne wol peenvill g. fijn zand peenike liiv h. een fijn figuurtje hebben peenikese kondiga olema 3. (verfijnd) peen, rafineeritud, viimistletud a. een fijne sigaar peen sigar b. iets fijn afwerken [mida] viimistlema c. een fijne smaak hebben [kellel] on arenenud/peen maitse "
"fijnbesnaard <A> <nonadv; -er/-st> << (ylitundlik, haavuv) tundlik, qrnatundeline "
"fijngevoelig <A> <adv; -er/-st> 1. (tactvol) peenetundeline, taktitundeline a. een weinig fijngevoelige opmerking taktitu mxrkus 2. (fijnbesnaard) qrnatundeline, << (ylitundlik, haavatav) tundlik "
"fijnproever <N> <-s; de; m/f> << (ka fig.) gurmaan, >> (kenner) asjatundja, peente toitude tundja a. een muzikale fijnproever muusikaalane asjatundja "
fijntjes <Adv> 1. (op een keurige, nette manier) >> (mooi, net) ilusti, >> (keurig) laitmatult, >> (keurig, verzorgd) hoolikalt, >> (smaakvol) maitsekalt, >> (elegant, net) peenelt 2. (met gevoel voor de situatie) ettevaatlikult, tundlikult, kavalalt, peenelt, osavalt a. iets fijntjes aangeven/opmerken [mida] peenelt mqista andma/txhendama 
"fijnzinnig <A> <adv; -er/-st> peen a. fijnzinnige humor peen huumor b. een fijnzinnige opmerking peen mxrkus "
"fijt <N> <-; de/het  n; mfn> >> (aan een vinger) sqrmesccbija, >> (aan een teen) varbasccbija, umme, panariitsium "
"fik <N> <-ken; de; m> [informal] << (tulekahju) tuli a. in de fik staan [informal] pqlema, leekides olema b. in de fik steken [informal] << (tulekahjut pqhjustama) pqlema panema, tuld otsa panema, tuld otsa pistma "
"fikken 1 <N> <fikken; de; m> 1. (vingers) [informal, pejor/offe] nxpud a. je moet er met je fikken van afblijven [informal] xra nxpi! b. fikken thuis! [informal] nxpud! "
fikken 2 <V> <h> 1. (branden) [informal] pqlema a. staan (te) fikken pqlema 
"fiks <A> <adv; mixed> << (hrl. ebameeldiva kohta) kqva, >> (hrl. ebameeldiva kohta) paras a. een fikse verkoudheid/griep kqva nohu/gripp b. een fikse boete/rekening paras trahv/arve c. een fikse wandeling pxris paras jalutuskxik d. een fikse (regen)bui paras sahmakas vihma e. fikse schade/verliezen mxrgatav kahju/kaotus f. een fiks bedrag/'pak slaag' paras summa/keretxis g. een fiks(e) aantal/hoeveelheid paras hulk h. een fikse ruzie/nederlaag kqva tyli/lyyasaamine "
fiksen <V> <h> [informal] joonde ajama, jutti ajama, korda ajama 
"filantroop <N> <-pen; de; mf> [formal] filantroop "
"filantropisch <A> <adv; mixed> filantroopiline, inimesesqbralik, >> (charitatief) heategev, >> (belangeloos) omakasupyydmatu a. een filantropische instelling filantroopiline mentaliteet "
"filatelie <N> <-; de; f> filateelia "
"filatelist <N> <-en; de; m/f> filatelist "
"file <N> <-s; de; mf> liiklusummik a. een lange file ulatuslik liiklusummik b. in de file staan liiklusummikusse sattunud olema c. een file van zes kilometer kuue kilomeetri pikkune liiklusummik "
fileren <V> <h> fileerima 
"filet <N> <-s; de/het  n; mn> filee "
"filet americain <N> <-; de; mf> hakkbiifsteek "
"filevorming <N> <-en; de; f> << (kui protsess) liiklusummik a. enige filevorming kohatised liiklusummikud b. filevorming en vertraging liiklusummik ja sqidukiiruse sunnitud vxhendamine "
"filharmonisch <A> <nonadv; ncompar; attr> filharmooniline "
"filiaal <N> <-len; het; n> filiaal "
Filipijnen <N> Filipiinid 
"Filippijn <N> <-en; de; m> filipiinlane "
"film <N> <-s; de; m> 1. (reeks filmopnamen) film a. een film draaien filmi vxntama b. een goede/mooie film hea/ilus film c. een film opnemen filmima d. er draait een film filmi nxidatakse 2. (filmvoorstelling) film a. naar de film gaan kinno minema 3. (strook materiaal) film, filmilint a. op film vastleggen filmilindile jxxdvustama 4. (vliesje) kile, << (vxga qhuke, kilejas) kiht a. er ligt een film olie op het water vee peal on qlikiht "
"filmactrice <N> <-s; de; f> filminxitlejanna a. een bekend(e) filmactrice tuntud filminxitlejanna "
"filmbeeld <N> <-en; het; n> related equivalent filmikaader, related equivalent filmikujund "
"filmcamera <N> <-'s; de; mf> filmikaamera, << (filmiseks) kaamera a. de filmcamera hanteren filmikaamerat kxsitsema b. de filmcamera in de aanslag houden kaamerat filmimiseks valmis hoidma "
"filmcarriäre <N> <-eres; de; mf> filmikarjxxr a. een succesvolle/glanzende filmcarriäre edukas/sxrav filmikarjxxr "
"filmcriticus <N> <filmcritici; de; m/f> filmikriitik a. hij is filmcriticus van beroep ta on elukutselt filmikriitik "
filmen <V> <h> filmima a. dat is niet te filmen [informal] see on uskumatu 
"filmer <N> <-s; de; m/f> >> (regisseur) filmirezwissccr, >> (filmproducent) filmiprodutsent, filmitegija, >> (mannelijk) filmimees "
"filmfestival <N> <-s; het; n> filmifestival a. het filmfestival van Gent Genti filmifestival b. hij kreeg een prijs op het filmfestival van Cannes ta sai Cannes'i filmifestivalil auhinna "
"filmgeschiedenis <N> <-; de; F> filminduse ajalugu "
"filmhuis <N> <-zen; het; n> kinomaja, filmiklubi a. deze cultfilm draait alleen in filmhuizen seda kultusefilmi nxidatakse ainult kinomajades "
"filmindustrie <N> <industrieen; de; f> filmitccstus "
"filmkeuring <N> <-en; de; f> filmitsensor "
"filmkijker <N> <-s; de; m/f> ~~ (isik) (gezamenlijke kijkers) kinopublik "
"filmkunst <N> <-; de; mf> filmikunst "
"filmmaatschappij <N> <-en; de; f> filmindusettevqte "
"filmmaker <N> <-s; de; M/F> >> (regisseur) filmirezwissccr, >> (producent) filmiprodutsent, filmitegija, >> (mannelijk) filmimees a. een succesvol(le) filmmaker edukas filmitegija "
"filmmateriaal <N> <-; het; n> filmimaterjal a. uniek filmmateriaal unikaalne filmimaterjal "
"filmmuseum <N> <filmmusea; het; n> kinomuuseum "
"filmmuziek <N> <-; de; f> filmimuusika "
"filmopname <N> <-n; de; mf; -s> 1. (opname op film) filmivqtted a. de filmopname neemt vier uur in beslag filmivqtted vxltavad neli tundi 2. (shot) kaader a. deze filmopnames werden vanuit een speciale hoek gemaakt need filmkaadrid vqeti erilise rakursiga "
"filmploeg <N> <-en; de; mf> filmigrupp "
"filmprijs <N> <-zen; de; m> filmiauhind "
"filmproducent <N> <-en; de; m/f> filmiprodutsent "
"filmproductie <N> <-s; de; f> filmiprodukt, >> (verfilming) filming "
"filmregisseur <N> <-s; de; m/f> filmirezwissccr "
"filmrol <N> <-len; de; mf> 1. (rol als filmacteur) filmiroll 2. (filmband) filmirull "
"filmserie <N> <-s; de; f; -n> sarifilm, filmiseeria, seeriafilm "
"filmster <N> <-ren; de; m/f> filmistaar a. een wereldberoemde filmster maailmakuulus filmistaar "
"filmwereld <N> <-; de; mf> filmimaailm a. beroemdheden uit de filmwereld txhed filmitaevas "
"filologie <N> <-; de; f> [lit] filoloogia a. de klassieke/Germaanse filologie klassikaline/germaani filoloogia "
"filologisch <A> <adv; ncompar> ~~ (seoses kultuuriajaloolise keele- ja kirjandusteadusega) (ook m.b.t. moderene taal- en letterkunde) filoloogiline "
"filosofe <N> <-n; de; f> << (naissoost) filosoof "
filosoferen <V> <h> filosofeerima, mqtteid mqlgutama a. over iets filosoferen [mille] yle filosofeerima b. hij liep weer te filosoferen tal oli jxlle pea pilvedes 
"filosofie 1 <N> <-; de; f> 1. (wijsbegeerte) filosoofia a. de filosofie van Kant Kanti filosoofia "
"filosofie 2 <N> <-ân; de; f> 1. (gedachtegang) filosoofia, mqttekxik, pqhimqte, seaduspxrasus, loogika "
"filosofisch <A> <adv; mixed> filosoofiline "
"filosoof <N> <-fen; de; m/f; -zofen> filosoof "
"filter <N> <-s; de/het  n; mn> 1. (zeef) filter a. een filter om koffie mee te zetten kohvifilter b. een mechanisch filter mehaaniline filter 2. (mondstuk) filter, sigaretifilter a. sigaretten zonder filter filtrita sigaretid "
filteren <V> <h> filtreerima, lxbi filtri laskma, >> (scheiden) filtri abil eraldama, << (filtri abil) kurnama a. water filteren vee lxbi filtri laskma b. koffie filteren filtrikohvi tegema 
"filterinstallatie <N> <-s; de; f> << (puhastusseade) filtreerimisseade "
"filtersigaret <N> <-ten; de; mf> filtriga sigaret "
"filterzakje <N> <-s; het; n> kohvifilter "
filtreren <V> <h> filtreerima, lxbi filtri laskma, >> (scheiden) filtri abil eraldama, << (filtri abil) kurnama 
"Fin <N> <-nen; de; m> soomlane "
"finaal 1 <A> <adv; ncompar; attr> 1. (totaal) lqplik, txielik, parandamatu, pccrdumatu, >> (als bijwoord) txienisti, >> (als bijwoord) txielikult, >> (als bijwoord) txiesti a. iets/iemand finaal aan flarden schieten << (pxxstmatult) [mille]/[kelle] sodiks laskma b. iets/iemand finaal aan flarden scheuren << (pxxstmatult) [mille]/[kelle] ribadeks kiskuma c. finaal afbranden/mislukken txienisti 'tules hxvinema'/ebaqnnestuma d. een finale afgang/mislukking pccrdumatu allakxik/ebaqnnestumine "
"finaal 2 <A> <nonadv; ncompar; attr> 1. (uiteindelijk) lqplik, lqpu-, lqpp- a. de finale beslissing/uitspraak lqppotsus b. de finale ronde lqpuring "
"finale <N> <-s; de; mf> 1. (beslissende wedstrijd) finaal a. de halve finale poolfinaal b. hij gaat door naar de finale ta pxxseb finaali c. hij zit/speelt in de finale ta on finaalis 2. (slotdeel van een muziekstuk) finaal "
"finalist <N> <-en; de; m/f> finalist a. verliezend finalist kaotav finalist b. de halve finalist poolfinalist "
"financieel <A> <adv; ncompar> finantsiline, rahanduslik, finants-, rahaline a. financiâle moeilijkheden/problemen finantsraskused b. financiâle steun finantsabi c. financiâle verplichtingen finantskohused d. iemands financiâle positie [kelle] rahanduslik seisund e. financieel onafhankelijk zijn finantsiliselt sqltumatu olema  f. iemand financieel steunen [kellele] finantsabi andma g. financieel (on)gunstig finantsiliselt (eba)soodne "
"financiân <N> <financiân; de; mf; financies> rahandus a. de minister van Financiân rahandusminister b. het ministerie van Financiân rahandusministeerium c. zij werkt op Financiân ta tcctab rahandusministeeriumis "
"financier <N> <-s; de; m/f> finantseerija, finantsist, >> (van een project of plan) rahastaja "
financieren <V> <h> finantseerima, rahastama a. een project/onderzoek financieren projekti/uurimust finantseerima 
"financiering <N> <-en; de; f> finantseerimine, rahastamine a. externe financiering [geldw] vxlisfinantseerimine, vxlisrahastamine b. de financiering van de gezondheidszorg tervishoiu finantseerimine "
"financieringsbron <N> <-nen; de; mf> finantsallikas, finantseerimise allikas "
"financieringsmaatschappij <N> <-en; de; f> finantsettevqte "
"financieringsstelsel <N> <-s; het; n> >> (millegi finantseerimiseks) finantssysteem, finantseerimissysteem "
"financieringstekort <N> <-en; het; n> finantsraskused, finantsdefitsiit "
"fineer <N> <-; het; n> vineer a. een kast uitgevoerd in fineer vineerkapp "
"finesse <N> <-s; de; f> finess a. tot in de finesses peensusteni vxlja "
fingeren <V> <h> 1. (doen alsof) >> (veinzen) teesklema, >> (spelen) lavastama a. hij fingeerde een overval ta lavastas kallaletungi 2. (bedenken) << (midagi tqele mitte vastavat) vxlja mqtlema a. hij gaf een gefingeerde naam op aan de politie ta ytles politseile vale/vxljamqeldud nime 
"finish <N> <-; de; mf> finisw a. over/door de finish gaan finiswijoone lxbima, yle finiswijoone jqudma b. hou vol, de finish is in zicht pea vastu, finisw on juba silme ees "
finishen <V> <hz> finisweerima 
"Finland <N> <-; het; n> Soome "
"finnjol <N> <-len; de; mf> [sport] finn "
Finoegrisch <A> <nonadv> soome-ugri 
"Fins 1 <N> <-; het; n> 1. (taal in Finland) soome keel "
"Fins 2 <A> <nonadv; ncompar> 1. (van Finland) soome "
Finse Golf <N> Soome laht 
"firma <N> <-'s; de; mf> firma "
"firmament <N> <-en; het; n> [formal, astr] firmament, taevakumm, txhistaevas, taevalaotus a. de sterren aan het firmament txhed taevakummil "
"firmant <N> <-en; de; m/f> firma liige "
"first lady <N> <-'s; de> esimene leedi "
"fis <N> <-sen; de; mf> fis, fa-diees "
"fiscaal <A> <adv; ncompar> fiskaalne a. een fiscaal adviseur/specialist nquandja maksude alal b. fiscaal aantrekkelijk maksude mqttes soodne "
"fiscus <N> <-; de; m> 1. (de staatskas) fiskus, riigikassa 2. (belastingdienst) maksuamet "
"fistel <N> <-s; de; mf> fistul, uuris "
"fit <A> <adv; -er/-st> vormis a. fit blijven vormis pysima b. zich (niet) fit voelen (mitte just) suurepxrases vormis olema "
"fitting <N> <-en; de; m; -s> 1. (gloeilamphouder) lambipesa a. een lamp in een fitting draaien lambi pessa keerama 2. (verbindingsbuis) fiting, toruliitmik "
"fixatie <N> <-s; de; f> 1. (het vastleggen) fikseerimine, fiksatsioon, >> (als resultaat) fikseering, related equivalent kinnistamine a. de fixatie van een breuk [med] luumurru fikseerimine/fiksatsioon 2. (het vastgelegd worden) fikseerumine, fiksatsioon, >> (als resultaat) fikseering, related equivalent kinnistumine 3. (psychische binding) fiksatsioon, << (sqge) kiindumus "
fixeren 1 <V> <h> 1. (bij foto's en tekeningen) fikseerima, fotosid, pilte fiksatiiviga tcctlema 2. (vastmaken) kindlaks mxxrama, fikseerima a. een datum fixeren kuupxeva (kohta) kokku leppima 3. (aanstaren) << (puurivalt) teraselt silmitsema, << (pikalt. puurivalt) otsa vaatama, silmadega puurima, fikseerima, yksisilmi vaatama a. een meisje fixeren yksisilmi tydrukut vaatama/vahtima 
"fixeren 2 <V> <h; oblreflex> 1. (je sterk concentreren) << (vxga sygavalt) syvenema, << (vxga sygavalt) kontsentreeruma, << (vxga sygavalt) keskenduma a. zich fixeren op iets << (vxga sygavalt) [millesse] syvenema, << (vxga sygavalt) [millele] kontsentreeruma, << (vxga sygavalt) [millele] keskenduma "
"fjord <N> <-en; de/het  n; mn> fjord "
"flacon <N> <-s; de; m> flakoon, pudelike "
fladderen <V> <hz> << (tiivuliste olevuste kohta) lendlema, laperdama a. een fladderende vlinder lendlev liblikas b. door het leven fladderen << (elu kergelt vqtma) qielt qiele lendama, lxbi elu lendlema 
"flagrant <A> <adv; -er/-st> << (skandaalse, hxbitu kohta) sulaselge, << (skandaalse, hxbitu kohta) ilmselge, ~~ (selgelt, otseselt) (schaamteloos) hxbitu a. een flagrante leugen sulaselge vale b. een flagrante schending van de mensenrechten inimqiguste ilmselge rikkumine c. flagrant onjuist ilmselgelt vale "
"flair <N> <-; de; m> mxnglev kergus, related equivalent elegants, related equivalent sarm a. vol flair mxngleva kergusega "
flakkeren <V> <h> ~~ (leegi kohta) (licht) vqbisema, ~~ (leegi kohta) (sterker) vilkuma a. op de tafel stonden enkele kaarsen te flakkeren laual olevate kyynalde leek vqbises 
flamberen <V> <h> flambeerima a. een geflambeerde jachtschotel flambeeritud jahipraad 
"flamingant <N> <-en; de; m/f> flamingant, flaamimeelne rahvuslane "
"flamingo <N> <-'s; de; m> flamingo "
"flanel <N> <-len; de/het  n; mn> flanell "
